,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mossamedes,-15.2,12.15,68.85,66,44,10.51,AO,1605913570
1,Tuktoyaktuk,69.45,-133.04,14.0,92,90,6.93,CA,1605913671
2,Jamestown,42.1,-79.24,55.0,46,1,9.17,US,1605913497
3,Vestmannaeyjar,63.44,-20.27,41.86,77,100,32.79,IS,1605913708
4,Bethel,41.37,-73.41,55.4,43,1,6.8,US,1605913698
5,Bluff,-46.6,168.33,48.99,87,84,24.0,NZ,1605913658
6,Port Alfred,-33.59,26.89,65.5,79,3,23.53,ZA,1605913684
7,Chui,-33.7,-53.46,59.47,83,1,8.21,UY,1605913688
8,Punta Arenas,-53.15,-70.92,57.2,47,0,18.34,CL,1605913795
9,Hithadhoo,-0.6,73.08,81.57,75,84,6.96,MV,1605913795
10,Yulara,-25.24,130.99,82.4,34,10,6.93,AU,1605913795
11,Iguape,-24.71,-47.56,69.62,70,61,8.46,BR,1605913796
12,Albany,42.6,-73.97,53.6,46,40,5.82,US,1605913504
13,Fairbanks,64.84,-147.72,8.01,83,20,2.24,US,1605913796
14,Clyde River,70.47,-68.59,1.4,70,20,11.41,CA,1605913796
15,New Norfolk,-42.78,147.06,63.0,51,38,1.99,AU,1605913665
16,Puerto Baquerizo Moreno,-0.9,-89.6,70.32,82,66,10.92,EC,1605913797
17,Conceição do Araguaia,-8.26,-49.26,77.02,81,12,3.67,BR,1605913797
18,Barrow,71.29,-156.79,6.8,77,1,14.99,US,1605913797
19,Daru,-9.08,143.21,82.96,76,100,15.52,PG,1605913797
20,Bengkulu,-3.8,102.27,76.15,90,94,5.35,ID,1605913798
21,Guánica,17.97,-66.91,81.0,86,9,4.0,PR,1605913798
22,Roald,62.58,6.13,41.0,75,90,21.92,NO,1605913798
23,Wewak,-3.55,143.63,77.14,95,100,8.75,PG,1605913798
24,Nabire,-3.37,135.48,82.76,73,100,2.15,ID,1605913798
25,Airai,-8.93,125.41,69.78,66,28,2.93,TL,1605913799
26,Tomatlán,19.93,-105.25,84.74,56,10,4.94,MX,1605913799
27,Papetoai,-17.5,-149.87,86.0,66,40,14.99,PF,1605913799
28,Castro,-24.79,-50.01,58.55,92,52,9.69,BR,1605913669
29,Sayyan,15.17,44.32,42.51,61,0,3.58,YE,1605913799
30,Butaritari,3.07,172.79,82.45,79,82,18.25,KI,1605913799
31,Usogorsk,63.41,48.69,32.72,92,98,11.81,RU,1605913800
32,Mataura,-46.19,168.86,48.99,87,67,24.0,NZ,1605913667
33,Coos Bay,43.37,-124.22,61.0,71,1,6.93,US,1605913800
34,Bougouni,11.42,-7.48,73.36,31,0,1.99,ML,1605913801
35,Wajima,37.4,136.9,52.14,67,92,16.82,JP,1605913801
36,Provideniya,64.38,-173.3,31.12,97,100,30.71,RU,1605913801
37,Lerwick,60.15,-1.15,51.8,81,75,47.2,GB,1605913801
38,Palembang,-2.92,104.75,77.0,94,20,1.36,ID,1605913802
39,Saint George,37.1,-113.58,63.0,26,1,1.66,US,1605913636
40,North Bend,43.41,-124.22,61.0,71,1,6.93,US,1605913802
41,Pierre,44.37,-100.35,41.0,64,20,3.36,US,1605913657
42,Berlevåg,70.86,29.09,32.0,89,75,13.87,NO,1605913641
43,Tasiilaq,65.61,-37.64,28.4,50,100,3.36,GL,1605913802
44,Port Macquarie,-31.43,152.92,75.99,69,49,1.01,AU,1605913803
45,Matagami,49.75,-77.63,28.4,100,90,13.87,CA,1605913803
46,Livramento,-3.03,-60.18,84.2,88,40,1.39,BR,1605913804
47,Ribeira Grande,38.52,-28.7,62.6,77,40,5.82,PT,1605913664
48,Marsh Harbour,26.54,-77.06,76.73,77,31,24.38,BS,1605913804
49,Pevek,69.7,170.31,16.75,97,100,2.64,RU,1605913804
50,Ust'-Kulom,61.69,53.69,30.63,96,100,11.34,RU,1605913805
51,Ushuaia,-54.8,-68.3,48.2,76,75,19.46,AR,1605913805
52,Hermanus,-34.42,19.23,64.0,76,0,5.01,ZA,1605913805
53,Chokurdakh,70.63,147.92,-5.87,92,100,5.3,RU,1605913705
54,Krasnoarmeysk,51.02,45.7,19.8,84,0,8.34,RU,1605913806
55,Asău,46.43,26.4,35.01,97,100,7.67,RO,1605913806
56,Saint-Philippe,-21.36,55.77,69.8,68,20,5.82,RE,1605913806
57,Bambous Virieux,-20.34,57.76,72.0,94,20,5.82,MU,1605913807
58,Sørland,67.67,12.69,28.4,92,75,2.24,NO,1605913687
59,Esperance,-33.87,121.9,59.0,87,40,8.05,AU,1605913664
60,Sítio Novo do Tocantins,-5.52,-47.46,77.81,76,79,3.49,BR,1605913807
61,Lakselv,70.05,24.97,28.4,68,88,21.92,NO,1605913807
62,Alofi,-19.06,-169.92,84.2,70,75,9.17,NU,1605913730
63,Nantucket,41.28,-70.1,57.2,82,1,20.8,US,1605913675
64,Cabo San Lucas,22.89,-109.91,90.0,45,5,8.05,MX,1605913680
65,Lavrentiya,65.58,-171.0,28.69,96,100,13.76,RU,1605913808
